Date,Location,Crime Count
2023-01-01,New York - Downtown,17
2023-01-02,New York - Downtown,20
2023-01-03,New York - Downtown,26
2023-01-04,New York - Downtown,5
2023-01-05,New York - Downtown,8
2023-01-06,New York - Downtown,8
2023-01-07,New York - Downtown,12
2023-01-08,New York - Downtown,14
2023-01-09,New York - Downtown,24
2023-01-10,New York - Downtown,26
2023-01-11,New York - Downtown,23
2023-01-12,New York - Downtown,9
2023-01-13,New York - Downtown,28
2023-01-14,New York - Downtown,11
2023-01-15,New York - Downtown,29
2023-01-16,New York - Downtown,29
2023-01-17,New York - Downtown,17
2023-01-18,New York - Downtown,6
2023-01-19,New York - Downtown,11
2023-01-20,New York - Downtown,12
2023-01-21,New York - Downtown,28
2023-01-22,New York - Downtown,19
2023-01-23,New York - Downtown,29
2023-01-24,New York - Downtown,22
2023-01-25,New York - Downtown,10
2023-01-26,New York - Downtown,18
2023-01-27,New York - Downtown,13
2023-01-28,New York - Downtown,14
2023-01-29,New York - Downtown,25
2023-01-30,New York - Downtown,24
2023-01-31,New York - Downtown,21
2023-02-01,New York - Downtown,24
2023-02-02,New York - Downtown,10
2023-02-03,New York - Downtown,20
2023-02-04,New York - Downtown,20
2023-02-05,New York - Downtown,5
2023-02-06,New York - Downtown,23
2023-02-07,New York - Downtown,8
2023-02-08,New York - Downtown,29
2023-02-09,New York - Downtown,22
2023-02-10,New York - Downtown,24
2023-02-11,New York - Downtown,24
2023-02-12,New York - Downtown,24
2023-02-13,New York - Downtown,19
2023-02-14,New York - Downtown,12
2023-02-15,New York - Downtown,5
2023-02-16,New York - Downtown,6
2023-02-17,New York - Downtown,14
2023-02-18,New York - Downtown,5
2023-02-19,New York - Downtown,15
2023-02-20,New York - Downtown,25
2023-02-21,New York - Downtown,28
2023-02-22,New York - Downtown,8
2023-02-23,New York - Downtown,16
2023-02-24,New York - Downtown,23
2023-02-25,New York - Downtown,28
2023-02-26,New York - Downtown,7
2023-02-27,New York - Downtown,5
2023-02-28,New York - Downtown,5
2023-03-01,New York - Downtown,9
2023-03-02,New York - Downtown,26
2023-03-03,New York - Downtown,10
2023-03-04,New York - Downtown,11
2023-03-05,New York - Downtown,13
2023-03-06,New York - Downtown,25
2023-03-07,New York - Downtown,22
2023-03-08,New York - Downtown,20
2023-03-09,New York - Downtown,9
2023-03-10,New York - Downtown,14
2023-03-11,New York - Downtown,15
2023-03-12,New York - Downtown,29
2023-03-13,New York - Downtown,6
2023-03-14,New York - Downtown,6
2023-03-15,New York - Downtown,12
2023-03-16,New York - Downtown,14
2023-03-17,New York - Downtown,8
2023-03-18,New York - Downtown,11
2023-03-19,New York - Downtown,28
2023-03-20,New York - Downtown,16
2023-03-21,New York - Downtown,19
2023-03-22,New York - Downtown,23
2023-03-23,New York - Downtown,5
2023-03-24,New York - Downtown,19
2023-03-25,New York - Downtown,8
2023-03-26,New York - Downtown,26
2023-03-27,New York - Downtown,17
2023-03-28,New York - Downtown,15
2023-03-29,New York - Downtown,25
2023-03-30,New York - Downtown,16
2023-03-31,New York - Downtown,9
2023-04-01,New York - Downtown,11
2023-04-02,New York - Downtown,9
2023-04-03,New York - Downtown,20
2023-04-04,New York - Downtown,25
2023-04-05,New York - Downtown,8
2023-04-06,New York - Downtown,17
2023-04-07,New York - Downtown,9
2023-04-08,New York - Downtown,25
2023-04-09,New York - Downtown,13
2023-04-10,New York - Downtown,19
2023-04-11,New York - Downtown,20
2023-04-12,New York - Downtown,25
2023-04-13,New York - Downtown,8
2023-04-14,New York - Downtown,28
2023-04-15,New York - Downtown,20
2023-04-16,New York - Downtown,18
2023-04-17,New York - Downtown,26
2023-04-18,New York - Downtown,26
2023-04-19,New York - Downtown,21
2023-04-20,New York - Downtown,22
2023-04-21,New York - Downtown,10
2023-04-22,New York - Downtown,14
2023-04-23,New York - Downtown,8
2023-04-24,New York - Downtown,5
2023-04-25,New York - Downtown,10
2023-04-26,New York - Downtown,5
2023-04-27,New York - Downtown,22
2023-04-28,New York - Downtown,23
2023-04-29,New York - Downtown,9
2023-04-30,New York - Downtown,7
2023-05-01,New York - Downtown,21
2023-05-02,New York - Downtown,8
2023-05-03,New York - Downtown,7
2023-05-04,New York - Downtown,15
2023-05-05,New York - Downtown,18
2023-05-06,New York - Downtown,21
2023-05-07,New York - Downtown,12
2023-05-08,New York - Downtown,26
2023-05-09,New York - Downtown,14
2023-05-10,New York - Downtown,5
2023-05-11,New York - Downtown,15
2023-05-12,New York - Downtown,23
2023-05-13,New York - Downtown,16
2023-05-14,New York - Downtown,28
2023-05-15,New York - Downtown,7
2023-05-16,New York - Downtown,7
2023-05-17,New York - Downtown,8
2023-05-18,New York - Downtown,8
2023-05-19,New York - Downtown,23
2023-05-20,New York - Downtown,19
2023-05-21,New York - Downtown,8
2023-05-22,New York - Downtown,25
2023-05-23,New York - Downtown,22
2023-05-24,New York - Downtown,23
2023-05-25,New York - Downtown,19
2023-05-26,New York - Downtown,14
2023-05-27,New York - Downtown,6
2023-05-28,New York - Downtown,9
2023-05-29,New York - Downtown,15
2023-05-30,New York - Downtown,27
2023-05-31,New York - Downtown,16
2023-06-01,New York - Downtown,13
2023-06-02,New York - Downtown,16
2023-06-03,New York - Downtown,7
2023-06-04,New York - Downtown,24
2023-06-05,New York - Downtown,21
2023-06-06,New York - Downtown,5
2023-06-07,New York - Downtown,27
2023-06-08,New York - Downtown,5
2023-06-09,New York - Downtown,11
2023-06-10,New York - Downtown,24
2023-06-11,New York - Downtown,19
2023-06-12,New York - Downtown,15
2023-06-13,New York - Downtown,24
2023-06-14,New York - Downtown,29
2023-06-15,New York - Downtown,13
2023-06-16,New York - Downtown,18
2023-06-17,New York - Downtown,29
2023-06-18,New York - Downtown,7
2023-06-19,New York - Downtown,8
2023-06-20,New York - Downtown,7
2023-06-21,New York - Downtown,16
2023-06-22,New York - Downtown,18
2023-06-23,New York - Downtown,21
2023-06-24,New York - Downtown,13
2023-06-25,New York - Downtown,13
2023-06-26,New York - Downtown,24
2023-06-27,New York - Downtown,13
2023-06-28,New York - Downtown,7
2023-06-29,New York - Downtown,29
2023-06-30,New York - Downtown,25
2023-07-01,New York - Downtown,8
2023-07-02,New York - Downtown,17
2023-07-03,New York - Downtown,19
